timestamp,compressor_1_pressure,compressor_1_flow,compressor_1_power,compressor_1_activity,compressor_1_oil_temp,compressor_1_availability,compressor_2_pressure,compressor_2_flow,compressor_2_power,compressor_2_activity,compressor_2_oil_temp,compressor_2_availability,compressor_3_pressure,compressor_3_flow,compressor_3_power,compressor_3_activity,compressor_3_oil_temp,compressor_3_availability,compressor_4_pressure,compressor_4_flow,compressor_4_power,compressor_4_activity,compressor_4_bov_position,compressor_4_oil_temp,compressor_4_availability,station_pressure,station_flow,station_power,station_specific_power
2024-01-15 00:00:00,96.07,0.0,0.0,off,30.0,available,96.07,0.0,0.0,off,30.0,available,107.72,119.4,37.56,loaded,31.0,available,96.07,0.0,0.0,off,0.0,30.0,available,96.07,119.4,37.56,0.3146
2024-01-15 00:00:54,96.27,0.0,0.0,off,30.0,available,96.27,0.0,0.0,off,30.0,available,107.67,113.4,34.19,loaded,31.5,available,96.27,0.0,0.0,off,0.0,30.0,available,96.27,113.4,34.19,0.3015
2024-01-15 00:02:17,96.66,0.0,0.0,off,30.0,available,96.66,0.0,0.0,off,30.0,available,108.44,102.1,34.82,loaded,32.4,available,96.66,0.0,0.0,off,0.0,30.0,available,96.66,102.1,34.82,0.341
2024-01-15 00:02:49,96.13,0.0,0.0,off,30.0,available,96.13,0.0,0.0,off,30.0,available,108.07,110.6,34.54,loaded,32.6,available,96.13,0.0,0.0,off,0.0,30.0,available,96.13,110.6,34.54,0.3123
2024-01-15 00:03:49,95.73,0.0,0.0,off,30.0,available,95.73,0.0,0.0,off,30.0,available,107.85,117.3,36.86,loaded,32.6,available,95.73,0.0,0.0,off,0.0,30.0,available,95.73,117.3,36.86,0.3142
2024-01-15 00:04:43,96.33,0.0,0.0,off,30.0,available,96.33,0.0,0.0,off,30.0,available,107.8,113.5,36.59,loaded,33.2,available,96.33,0.0,0.0,off,0.0,30.0,available,96.33,113.5,36.59,0.3224
2024-01-15 00:06:16,96.01,0.0,0.0,off,30.0,available,96.01,0.0,0.0,off,30.0,available,107.38,113.6,39.35,loaded,34.2,available,96.01,0.0,0.0,off,0.0,30.0,available,96.01,113.6,39.35,0.3464
2024-01-15 00:06:54,96.12,0.0,0.0,off,30.0,available,96.12,0.0,0.0,off,30.0,available,108.11,112.7,38.31,loaded,34.8,available,96.12,0.0,0.0,off,0.0,30.0,available,96.12,112.7,38.31,0.3399
2024-01-15 00:07:46,95.45,0.0,0.0,off,30.0,available,95.45,0.0,0.0,off,30.0,available,108.45,106.5,33.96,loaded,35.3,available,95.45,0.0,0.0,off,0.0,30.0,available,95.45,106.5,33.96,0.3189
2024-01-15 00:08:48,96.0,0.0,0.0,off,30.0,available,96.0,0.0,0.0,off,30.0,available,107.22,102.1,34.71,loaded,36.1,available,96.0,0.0,0.0,off,0.0,30.0,available,96.0,102.1,34.71,0.34
2024-01-15 00:10:13,96.62,0.0,0.0,off,30.0,available,96.62,0.0,0.0,off,30.0,available,107.99,132.2,41.14,loaded,36.7,available,96.62,0.0,0.0,off,0.0,30.0,available,96.62,132.2,41.14,0.3112
2024-01-15 00:10:49,95.88,0.0,0.0,off,30.0,available,95.88,0.0,0.0,off,30.0,available,108.1,117.0,39.75,loaded,37.5,available,95.88,0.0,0.0,off,0.0,30.0,available,95.88,117.0,39.75,0.3397
2024-01-15 00:12:11,95.65,0.0,0.0,off,30.0,available,95.65,0.0,0.0,off,30.0,available,108.39,133.4,41.78,loaded,38.0,available,95.65,0.0,0.0,off,0.0,30.0,available,95.65,133.4,41.78,0.3132
2024-01-15 00:13:03,96.85,0.0,0.0,off,30.0,available,96.85,0.0,0.0,off,30.0,available,106.55,109.7,38.42,loaded,38.8,available,96.85,0.0,0.0,off,0.0,30.0,available,96.85,109.7,38.42,0.3502
2024-01-15 00:14:03,96.22,0.0,0.0,off,30.0,available,96.22,0.0,0.0,off,30.0,available,107.28,113.8,39.27,loaded,39.2,available,96.22,0.0,0.0,off,0.0,30.0,available,96.22,113.8,39.27,0.3451
2024-01-15 00:14:55,96.24,0.0,0.0,off,30.0,available,96.24,0.0,0.0,off,30.0,available,108.86,124.5,42.19,loaded,40.0,available,96.24,0.0,0.0,off,0.0,30.0,available,96.24,124.5,42.19,0.3389
2024-01-15 00:15:55,95.75,0.0,0.0,off,30.0,available,95.75,0.0,0.0,off,30.0,available,107.62,115.3,40.04,loaded,40.5,available,95.75,0.0,0.0,off,0.0,30.0,available,95.75,115.3,40.04,0.3473
2024-01-15 00:17:18,96.21,0.0,0.0,off,30.0,available,96.21,0.0,0.0,off,30.0,available,107.94,107.1,39.29,loaded,41.0,available,96.21,0.0,0.0,off,0.0,30.0,available,96.21,107.1,39.29,0.3669
2024-01-15 00:17:48,96.02,0.0,0.0,off,30.0,available,96.02,0.0,0.0,off,30.0,available,108.39,101.2,36.59,loaded,42.4,available,96.02,0.0,0.0,off,0.0,30.0,available,96.02,101.2,36.59,0.3616
2024-01-15 00:18:47,96.62,0.0,0.0,off,30.0,available,96.62,0.0,0.0,off,30.0,available,108.5,107.2,38.23,loaded,42.7,available,96.62,0.0,0.0,off,0.0,30.0,available,96.62,107.2,38.23,0.3566
2024-01-15 00:20:10,96.37,0.0,0.0,off,30.0,available,96.37,0.0,0.0,off,30.0,available,107.55,127.2,36.77,loaded,43.4,available,96.37,0.0,0.0,off,0.0,30.0,available,96.37,127.2,36.77,0.2891
2024-01-15 00:21:14,96.14,0.0,0.0,off,30.0,available,96.14,0.0,0.0,off,30.0,available,108.25,100.6,37.31,loaded,43.8,available,96.14,0.0,0.0,off,0.0,30.0,available,96.14,100.6,37.31,0.3709
2024-01-15 00:22:19,96.12,0.0,0.0,off,30.0,available,96.12,0.0,0.0,off,30.0,available,107.23,104.0,36.93,loaded,43.9,available,96.12,0.0,0.0,off,0.0,30.0,available,96.12,104.0,36.93,0.3551
2024-01-15 00:22:46,95.62,0.0,0.0,off,30.0,available,95.62,0.0,0.0,off,30.0,available,107.59,121.5,38.33,loaded,44.6,available,95.62,0.0,0.0,off,0.0,30.0,available,95.62,121.5,38.33,0.3155
2024-01-15 00:23:50,95.84,0.0,0.0,off,30.0,available,95.84,0.0,0.0,off,30.0,available,107.51,127.0,39.04,loaded,44.8,available,95.84,0.0,0.0,off,0.0,30.0,available,95.84,127.0,39.04,0.3074
2024-01-15 00:25:20,96.26,0.0,0.0,off,30.0,available,96.26,0.0,0.0,off,30.0,available,108.44,98.5,34.89,loaded,45.3,available,96.26,0.0,0.0,off,0.0,30.0,available,96.26,98.5,34.89,0.3542
2024-01-15 00:25:48,96.23,0.0,0.0,off,30.0,available,96.23,0.0,0.0,off,30.0,available,108.39,119.9,31.77,loaded,45.9,available,96.23,0.0,0.0,off,0.0,30.0,available,96.23,119.9,31.77,0.265
2024-01-15 00:27:16,95.8,0.0,0.0,off,30.0,available,95.8,0.0,0.0,off,30.0,available,108.57,126.8,37.32,loaded,46.4,available,95.8,0.0,0.0,off,0.0,30.0,available,95.8,126.8,37.32,0.2943
2024-01-15 00:28:10,96.24,0.0,0.0,off,30.0,available,96.24,0.0,0.0,off,30.0,available,107.43,111.1,36.58,loaded,46.3,available,96.24,0.0,0.0,off,0.0,30.0,available,96.24,111.1,36.58,0.3293
2024-01-15 00:29:00,96.5,0.0,0.0,off,30.0,available,96.5,0.0,0.0,off,30.0,available,107.14,90.5,34.16,loaded,46.8,available,96.5,0.0,0.0,off,0.0,30.0,available,96.5,90.5,34.16,0.3775
2024-01-15 00:29:56,96.55,0.0,0.0,off,30.0,available,96.55,0.0,0.0,off,30.0,available,106.76,129.0,38.98,loaded,47.6,available,96.55,0.0,0.0,off,0.0,30.0,available,96.55,129.0,38.98,0.3022
2024-01-15 00:31:20,96.74,0.0,0.0,off,30.0,available,96.74,0.0,0.0,off,30.0,available,108.33,95.3,34.47,loaded,47.9,available,96.74,0.0,0.0,off,0.0,30.0,available,96.74,95.3,34.47,0.3617
2024-01-15 00:31:40,95.2,0.0,0.0,off,30.0,available,95.2,0.0,0.0,off,30.0,available,108.12,109.6,35.78,loaded,47.9,available,95.2,0.0,0.0,off,0.0,30.0,available,95.2,109.6,35.78,0.3265
2024-01-15 00:32:40,95.43,0.0,0.0,off,30.0,available,95.43,0.0,0.0,off,30.0,available,107.84,101.5,35.71,loaded,48.2,available,95.43,0.0,0.0,off,0.0,30.0,available,95.43,101.5,35.71,0.3518
2024-01-15 00:33:55,95.87,0.0,0.0,off,30.0,available,95.87,0.0,0.0,off,30.0,available,108.25,93.2,33.43,loaded,48.3,available,95.87,0.0,0.0,off,0.0,30.0,available,95.87,93.2,33.43,0.3587
2024-01-15 00:34:48,95.47,0.0,0.0,off,30.0,available,95.47,0.0,0.0,off,30.0,available,107.79,94.3,35.05,loaded,48.7,available,95.47,0.0,0.0,off,0.0,30.0,available,95.47,94.3,35.05,0.3717
2024-01-15 00:35:48,95.95,0.0,0.0,off,30.0,available,95.95,0.0,0.0,off,30.0,available,108.3,104.6,35.17,loaded,49.1,available,95.95,0.0,0.0,off,0.0,30.0,available,95.95,104.6,35.17,0.3362
2024-01-15 00:36:58,96.29,0.0,0.0,off,30.0,available,96.29,0.0,0.0,off,30.0,available,107.83,134.8,44.27,loaded,49.7,available,96.29,0.0,0.0,off,0.0,30.0,available,96.29,134.8,44.27,0.3284
2024-01-15 00:37:46,96.2,0.0,0.0,off,30.0,available,96.2,0.0,0.0,off,30.0,available,107.25,107.1,32.21,loaded,49.7,available,96.2,0.0,0.0,off,0.0,30.0,available,96.2,107.1,32.21,0.3007
2024-01-15 00:38:41,95.54,0.0,0.0,off,30.0,available,95.54,0.0,0.0,off,30.0,available,107.75,150.5,44.05,loaded,50.0,available,95.54,0.0,0.0,off,0.0,30.0,available,95.54,150.5,44.05,0.2927
2024-01-15 00:40:03,95.67,0.0,0.0,off,30.0,available,95.67,0.0,0.0,off,30.0,available,108.54,108.2,35.82,loaded,50.5,available,95.67,0.0,0.0,off,0.0,30.0,available,95.67,108.2,35.82,0.3311
2024-01-15 00:41:04,95.55,0.0,0.0,off,30.0,available,95.55,0.0,0.0,off,30.0,available,108.08,116.4,37.56,loaded,51.0,available,95.55,0.0,0.0,off,0.0,30.0,available,95.55,116.4,37.56,0.3227
2024-01-15 00:41:55,95.58,0.0,0.0,off,30.0,available,95.58,0.0,0.0,off,30.0,available,108.45,104.9,37.26,loaded,51.0,available,95.58,0.0,0.0,off,0.0,30.0,available,95.58,104.9,37.26,0.3552
2024-01-15 00:43:09,95.73,0.0,0.0,off,30.0,available,95.73,0.0,0.0,off,30.0,available,109.2,104.8,38.06,loaded,51.8,available,95.73,0.0,0.0,off,0.0,30.0,available,95.73,104.8,38.06,0.3632
2024-01-15 00:44:07,96.47,0.0,0.0,off,30.0,available,96.47,0.0,0.0,off,30.0,available,109.04,91.7,33.58,loaded,52.0,available,96.47,0.0,0.0,off,0.0,30.0,available,96.47,91.7,33.58,0.3662
2024-01-15 00:45:10,96.03,0.0,0.0,off,30.0,available,96.03,0.0,0.0,off,30.0,available,108.04,106.2,35.1,loaded,52.8,available,96.03,0.0,0.0,off,0.0,30.0,available,96.03,106.2,35.1,0.3305
2024-01-15 00:46:18,95.87,0.0,0.0,off,30.0,available,95.87,0.0,0.0,off,30.0,available,108.09,114.7,35.69,loaded,53.0,available,95.87,0.0,0.0,off,0.0,30.0,available,95.87,114.7,35.69,0.3112
2024-01-15 00:46:47,95.44,0.0,0.0,off,30.0,available,95.44,0.0,0.0,off,30.0,available,107.8,115.6,35.48,loaded,53.4,available,95.44,0.0,0.0,off,0.0,30.0,available,95.44,115.6,35.48,0.3069
2024-01-15 00:48:08,96.5,0.0,0.0,off,30.0,available,96.5,0.0,0.0,off,30.0,available,107.67,56.4,24.22,loaded,54.3,available,96.5,0.0,0.0,off,0.0,30.0,available,96.5,56.4,24.22,0.4294
2024-01-15 00:49:20,96.18,0.0,0.0,off,30.0,available,96.18,0.0,0.0,off,30.0,available,107.9,63.5,31.2,loaded,54.7,available,96.18,0.0,0.0,off,0.0,30.0,available,96.18,63.5,31.2,0.4913
2024-01-15 00:49:56,95.44,0.0,0.0,off,30.0,available,95.44,0.0,0.0,off,30.0,available,106.05,116.1,37.27,loaded,55.1,available,95.44,0.0,0.0,off,0.0,30.0,available,95.44,116.1,37.27,0.321
2024-01-15 00:50:59,95.97,0.0,0.0,off,30.0,available,95.97,0.0,0.0,off,30.0,available,107.94,135.7,41.66,loaded,55.4,available,95.97,0.0,0.0,off,0.0,30.0,available,95.97,135.7,41.66,0.307
2024-01-15 00:51:52,95.8,0.0,0.0,off,30.0,available,95.8,0.0,0.0,off,30.0,available,108.6,119.4,42.78,loaded,56.3,available,95.8,0.0,0.0,off,0.0,30.0,available,95.8,119.4,42.78,0.3583
2024-01-15 00:53:12,95.94,0.0,0.0,off,30.0,available,95.94,0.0,0.0,off,30.0,available,108.45,116.1,39.13,loaded,57.2,available,95.94,0.0,0.0,off,0.0,30.0,available,95.94,116.1,39.13,0.337
2024-01-15 00:54:09,95.36,0.0,0.0,off,30.0,available,95.36,0.0,0.0,off,30.0,available,107.86,107.5,38.21,loaded,57.3,available,95.36,0.0,0.0,off,0.0,30.0,available,95.36,107.5,38.21,0.3554
2024-01-15 00:55:17,96.16,0.0,0.0,off,30.0,available,96.16,0.0,0.0,off,30.0,available,108.25,95.7,34.82,loaded,57.6,available,96.16,0.0,0.0,off,0.0,30.0,available,96.16,95.7,34.82,0.3638
2024-01-15 00:55:51,96.01,0.0,0.0,off,30.0,available,96.01,0.0,0.0,off,30.0,available,107.84,127.8,42.49,loaded,57.5,available,96.01,0.0,0.0,off,0.0,30.0,available,96.01,127.8,42.49,0.3325
2024-01-15 00:56:52,96.23,0.0,0.0,off,30.0,available,96.23,0.0,0.0,off,30.0,available,108.1,111.2,39.88,loaded,58.0,available,96.23,0.0,0.0,off,0.0,30.0,available,96.23,111.2,39.88,0.3586
